2017																																																																																																																																																																																																				
Dati meteorologici Provincia di Campobasso 16—31 gennaio									Dati meteorologici Provincia di Campobasso 01-15 febbraio									Dati meteorologici Provincia di Campobasso 16-28 febbraio									Dati meteorologici Provincia di Campobasso 01-15 marzo									Dati meteorologici Provincia di Campobasso 16-31 marzo									Dati meteorologici Provincia di Campobasso 01-15 aprile									Dati meteorologici Provincia di Campobasso 16-30 aprile									Dati meteorologici Provincia di Campobasso 01-15 maggio									Dati meteorologici Provincia di Campobasso 16-31 maggio									Dati meteorologici Provincia di Campobasso 01-15 giugno									Dati meteorologici Provincia di Campobasso 16-30 giugno									Dati meteorologici Provincia di Campobasso 01-15 luglio									Dati meteorologici Provincia di Campobasso 01-15 agosto									Dati meteorologici Provincia di Campobasso 16-31 agosto									Dati meteorologici Provincia di Campobasso 01-15 settembre									Dati meteorologici Provincia di Campobasso 16-30 settembre									Dati meteorologici Provincia di Campobasso 01-15 ottobre									Dati meteorologici Provincia di Campobasso 16-31 ottobre									Dati meteorologici Provincia di Campobasso 01-15 novembre									Dati meteorologici Provincia di Campobasso 16-30 novembre									Dati meteorologici Provincia di Campobasso 01-15 dicembre									Dati meteorologici Provincia di Campobasso 16-31 dicembre							
(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 3 stazioni: Campobasso, Guardialfiera e Termoli)									(Media di 4 stazioni: Campobasso, Guardialfiera, Larino e Termoli)									(Media di 4 stazioni: Campobasso, Guardialfiera, Larino e Termoli)							
Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento	
	max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione
16	4,60	0,90	2,80	89,00	9,33	12,43	NW		1	15,27	 7,60	11,23	70,33	0,07	12,50	S		16	14,87	4,50	8,80	62,33	0,00	5,37	S		1	16,13	6,33	11,50	68,00	0,27	12,73	ESE		16	13,30	 6,10	9,70	65,33	0,00	12,83	ESE		1	23,67	10,57	15,87	53,33	0,00	6,97	SSW		16	15,90	10,60	13,73	 83,33	1,20	10,43	NNW		1	20,47	7,70	14,13	60,67	0,00	10,63	SSW		16	20,57	13,90	17,63	73,00	0,00	17,50	N		1	27,60	17,30	21,97	71,33	0,00	6,33	SE		16	28,67	18,97	23,87	75,00	3,53	6,70	NE		1	25,17	18,43	21,87	 68,67	0,00	8,10	NE		1	32,63	23,10	27,90	60,00	0,00	8,17	NW		16	30,10	19,83	25,10	52,67	0,00	9,43	NNW		1	29,80	22,27	25,03	63,67	3,73	10,10	WSW		16	31,10	19,73	25,03	48,33	0,00	11,83	SSE		1	21,40	11,30	15,87	73,00	0,00	5,53	NE		16	23,73	12,30	17,33	63,67	0	6,30	SSW		1	13,93	7,13	10,13	72,33	0,00	5,07	WSW		16	11,00	8,47	9,83	92,67	19,87	22,20	NNW		1	10,83	4,80	6,95	74,25	0,05	4,10	SSW		16	12,03	4,88	9,33	66,5	0	9,25	SW
17	5,90	2,07	3,90	91,33	12,13	9,30	N		2	14,60	8,83	11,60	66,00	0,00	10,47	S		17	13,87	4,37	8,67	73,00	0,00	6,80	SW		2	16,07	5,63	10,60	66,00	0,00	9,03	ESE		17	19,57	6,90	13,00	52,67	0,00	8,40	SSE		2	19,03	9,00	13,67	64,00	0,87	6,53	SSE		17	13,93	9,30	11,70	77,67	8,00	12,80	N		2	17,20	11,93	14,33	67,33	0,00	6,57	SSE		17	21,23	15,20	18,43	65,00	0,00	15,77	N		2	26,87	17,40	22,57	69,00	0,00	6,50	SSE		17	26,60	19,37	22,87	75,33	0,00	10,80	NNW		2	24,13	17,47	20,30	68,33	2,33	8,40	NW		2	36,33	23,80	30,20	40,67	0,00	7,47	NW		17	29,50	20,43	25,33	52,33	0,00	11,37	NNW		2	26,83	18,57	22,93	66,33	10,67	12,07	S		17	25,60	15,67	21,43	63,33	0,40	11,23	SSE		2	20,10	14,23	16,50	78,00	0,00	4,87	NE		17	22,80	12,30	16,90	68,33	0,00	6,37	SSW		2	18,27	6,80	12,40	66,00	0,00	7,87	SW		17	11,50	9,43	10,47	89,67	2,67	17,47	NW		2	9,10	3,73	6,45	83,00	0,90	4,98	W		17	6,95	2,38	4,55	80	2,48	11,75	W
18	5,50	2,40	3,87	95,33	39,13	15,40	NV		3	15,93	10,63	13,13	65,33	0,00	14,07	S		18	9,47	4,47	7,47	82,67	3,00	10,67	WSW		3	15,70	6,63	11,07	72,33	0,00	6,83	SSE		18	20,63	10,43	15,17	51,00	0,00	20,63	WSW		3	14,03	9,77	11,30	86,00	7,27	11,33	NE		18	20,13	6,20	13,07	69,00	1,33	14,83	WNW		3	18,37	10,87	13,57	76,00	6,73	4,87	WNW		18	23,30	13,80	18,33	61,33	0,00	8,90	NNE		3	27,13	16,23	21,83	60,00	0,00	6,83	ESE		18	22,33	17,80	20,20	61,33	0,00	20,03	NNE		3	25,20	17,33	21,70	61,00	0,00	18,07	NNW		3	35,77	25,53	30,63	40,67	0,00	7,53	NNE		18	31,60	21,37	26,33	50,33	0,00	7,10	NW		3	22,60	14,03	18,27	61,00	0,33	14,83	WSW		18	23,87	13,50	18,30	64,00	0,00	7,53	SSE		3	24,97	12,43	18,07	72,67	0,07	5,80	SW		18	22,67	12,10	16,97	72,67	0,00	5,37	SSE		3	17,07	9,57	12,97	72,33	0,00	5,43	SSW		18	12,03	7,97	9,97	81,67	0,00	11,00	NW		3	8,30	5,10	6,30	86,25	5,28	6,28	WSW		18	3,93	1,08	2,13	85,25	7,13	9,2	NW
19	3,90	2,30	3,07	93,33	22,07	16,93	NV		4	16,07	11,50	13,80	62,33	0,13	15,57	S		19	9,83	3,67	6,30	77,00	0,00	10,03	W		4	18,47	8,07	13,47	63,33	0,33	13,50	SE		19	19,73	10,33	14,23	64,67	0,00	9,47	SSE		4	17,50	8,07	12,57	74,67	0,07	6,13	ENE		19	8,43	4,27	6,20	83,00	6,33	17,23	NW		4	20,33	10,73	15,10	75,00	0,93	5,60	ENE		19	25,27	14,30	19,90	58,67	0,00	9,60	S		4	28,70	17,60	22,87	58,67	0,00	7,53	SSE		19	24,93	16,40	21,30	61,00	0,00	14,43	NW		4	26,40	17,03	22,20	53,67	0,00	10,60	NE		4	38,27	26,10	32,77	38,67	0,00	6,67	SSW		19	33,57	22,70	27,93	48,33	0,00	8,93	NE		4	24,17	13,43	18,43	64,33	0,00	6,90	ENE		19	23,10	14,57	18,07	66,33	0,80	13,20	SSE		4	22,77	15,80	18,57	80,67	0,00	6,97	NNE		19	20,93	12,13	15,97	79,00	0,00	5,27	SW		4	17,60	8,97	12,87	76,00	0,00	5,93	SSE		19	13,10	6,60	9,47	75,67	0,00	5,20	WSW		4	7,23	3,30	5,25	82,00	0,48	6,73	W		19	4,23	0,5	2,2	83,5	2,13	5,95	W
20	5,00	3,53	4,13	93,67	2,33	6,30	NV		5	16,20	11,10	13,50	69,33	0,47	13,40	SSE		20	10,97	2,50	6,10	75,33	0,00	5,90	S		5	14,73	8,47	11,50	70,33	1,60	11,53	SE		20	17,10	9,37	12,83	81,00	0,00	6,37	ESE		5	16,23	8,27	12,07	80,33	0,00	5,80	NE		20	9,40	2,77	6,00	72,33	2,00	18,80	NW		5	18,50	11,87	15,13	75,00	0,07	7,43	NE		20	22,57	12,63	16,83	73,67	5,07	10,03	S		5	27,60	18,17	22,80	65,67	0,00	7,03	ENE		20	29,13	16,73	23,00	57,33	0,00	7,33	SW		5	29,23	18,33	24,07	50,00	0,00	7,87	ENE		5	37,23	26,23	31,33	42,67	0,00	6,93	SW		20	30,10	21,73	25,27	60,67	2,07	15,13	N		5	25,37	15,73	20,40	60,33	0,00	6,53	NNW		20	16,70	11,93	13,93	76,00	6,47	11,63	NW		5	24,73	14,80	19,27	75,33	0,07	7,50	SSE		20	19,43	12,40	15,13	85,67	0,00	3,57	ESE		5	20,57	9,70	14,53	68,67	22,93	7,70	SSE		20	12,60	5,27	8,67	65,00	0,53	9,60	NW		5	10,33	2,28	5,63	62,50	0,00	5,63	W		20	4,6	1,03	2,48	79,25	4,08	6,6	NW
21	6,90	4,23	5,33	95,33	2,47	3,33	NNE		6	13,53	7,20	10,03	78,00	0,67	10,83	SSE		21	15,20	2,40	8,30	62,33	0,00	6,70	S		6	16,97	8,90	11,77	63,00	0,33	16,40	SE		21	17,27	9,00	12,53	84,00	0,07	6,10	NE		6	17,67	8,10	11,57	81,33	3,93	6,23	W		21	8,77	3,67	6,30	69,33	0,00	15,27	NNE		6	19,60	10,63	15,00	75,67	0,53	6,20	W		21	17,83	11,97	15,20	79,67	1,07	20,53	NNW		6	27,17	19,23	22,87	62,33	0,00	9,87	SSE		21	29,37	19,60	24,73	57,33	0,00	7,67	SW		6	31,67	20,43	25,97	50,67	0,00	7,47	NE		6	36,23	24,80	30,50	42,00	0,00	8,23	NE		21	24,37	19,03	21,87	59,67	0,00	20,30	N		6	27,77	16,60	22,13	58,00	0,00	8,37	SW		21	20,27	11,60	15,70	61,33	1,40	8,80	SSE		6	22,50	11,10	18,07	71,00	24,07	14,77	WSW		21	22,13	11,30	16,27	78,67	0,07	5,10	SSW		6	17,27	9,33	13,13	85,00	16,87	8,00	SSE		21	13,70	4,93	8,67	71,67	0,00	5,77	SW		6	13,55	3,48	7,15	58,00	0,00	4,13	SW		21	5,6	2,58	4,48	70	0,05	13,75	NW
22	6,87	5,13	5,83	95,00	2,20	5,07	NE		7	10,37	5,40	7,37	88,33	2,20	8,37	NW		22	15,63	4,70	9,37	71,33	0,00	6,80	WSW		7	12,53	5,37	7,97	85,67	14,93	20,73	NW		22	17,53	9,37	12,83	82,33	0,00	5,67	SSW		7	14,13	8,00	11,33	69,00	0,47	9,43	NW		22	14,97	2,60	8,90	57,00	0,00	8,50	WSW		7	20,53	11,13	15,50	72,00	14,20	10,73	SSW		22	22,93	13,37	18,00	68,33	0,00	8,67	NNW		7	27,47	17,97	22,37	65,33	0,00	8,57	W		22	30,60	20,70	25,57	59,00	0,00	8,10	SSW		7	34,07	21,30	27,60	44,67	0,00	7,17	SW		7	30,13	24,13	27,40	64,00	0,00	12,47	NW		22	23,27	17,40	20,90	53,33	0,00	13,83	N		7	27,60	18,47	22,63	63,33	0,00	12,60	WSW		22	23,10	11,77	16,93	56,33	0,00	6,17	SSE		7	15,90	10,17	13,53	65,33	1,47	22,97	NE		22	23,27	13,00	17,27	71,00	1,00	9,47	NNW		7	14,13	7,90	10,33	79,00	3,73	6,03	SE		22	15,33	6,47	10,13	79,67	0,00	5,10	SW		7	12,30	3,25	6,88	72,00	0,00	4,15	SW		22	8,23	4,78	6,55	77	0	19,45	NW
23	7,00	5,03	6,23	92,67	7,47	8,23	NNW		8	8,43	5,03	6,67	82,33	0,53	3,33	E		23	15,33	5,57	10,10	74,00	0,00	6,50	SSW		8	10,57	6,07	8,50	76,67	4,00	33,23	NW		23	18,23	9,63	13,57	76,33	0,00	7,50	ESE		8	17,37	7,33	12,33	59,67	0,00	7,73	E		23	17,63	8,03	12,60	67,00	0,00	8,50	SSE		8	17,57	10,93	13,87	83,67	10,07	9,57	WSW		23	24,43	15,00	18,77	72,33	2,20	6,67	WSW		8	22,50	17,10	19,93	70,67	0,00	12,03	SW		23	33,10	21,37	26,97	56,67	0,00	9,10	SSW		8	32,87	22,30	27,60	48,33	0,00	6,43	SSO		8	33,47	21,93	27,73	61,33	0,00	6,77	NE		23	27,37	15,70	21,37	54,00	0,00	7,37	NE		8	24,97	18,03	21,07	72,67	1,33	7,50	NNW		23	24,63	12,67	17,97	58,33	0,00	6,53	E		8	21,20	8,53	14,40	53,33	0,00	8,37	SW		23	16,27	8,87	12,50	74,00	11,23	17,40	NNW		8	15,03	7,47	10,50	79,00	0,00	4,43	SW		23	15,83	6,97	10,33	80,00	0,00	4,90	SW		8	14,00	4,98	10,05	65,25	0,00	11,45	SSW		23	10,25	4,5	7,63	71,5	0,05	13,23	NW
24	7,13	3,70	5,87	87,67	3,40	8,57	NNW		9	7,60	4,87	6,07	92,00	3,80	6,07	ESE		24	18,40	10,03	13,67	64,00	0,47	14,73	S		9	14,40	7,13	10,83	54,33	0,00	14,40	NW		24	17,07	9,60	12,87	79,33	0,13	5,10	ESE		9	18,17	8,63	13,47	61,67	0,00	7,77	E		24	19,63	8,17	13,80	69,67	0,00	6,67	ESE		9	17,30	11,37	13,60	83,67	3,20	9,50	WSW		24	25,00	14,77	19,73	65,00	0,00	6,33	SW		9	25,47	14,90	20,17	61,33	0,00	7,27	ENE		24	32,63	21,83	27,27	58,00	0,00	8,07	ESE		9	33,37	22,47	27,90	49,67	0,00	7,27	ENE		9	37,77	24,50	30,80	43,00	0,00	8,53	SSW		24	31,03	18,30	24,53	49,00	0,00	7,27	NE		9	28,23	17,33	21,80	59,33	0,00	12,17	SSE		24	22,83	12,70	17,60	64,33	7,20	6,37	E		9	20,17	10,63	15,10	67,67	0,00	5,83	NE		24	16,13	10,23	14,37	63,00	4,50	27,53	NNW		9	15,87	7,50	11,17	77,33	0,00	4,40	SSE		24	16,83	6,97	10,63	77,00	0,00	4,83	SSW		9	12,33	1,63	7,43	73,25	7,60	12,98	WSW		24	15,28	4,38	8,75	54,25	0	4,08	WSW
