2020																																																																															
Tab. n° 3 - Dati meteorologici Alto Molise 01-15 gennaio									Tab. n° 3 - Dati meteorologici Alto Molise 16-31 gennaio									Tab. n° 3 - Dati meteorologici Alto Molise 01-15 febbraio									Tab. n° 3 - Dati meteorologici Alto Molise 16-29 febbraio									Tab. n° 3 - Dati meteorologici Alto Molise 01-15 marzo									Tab. n° 3 - Dati meteorologici Alto Molise 16-31 marzo									Tab. n° 3 - Dati meteorologici Alto Molise 01-15 aprile									Tab. n° 3 - Dati meteorologici Alto Molise 16-30 aprile									Tab. n° 3 - Dati meteorologici Alto Molise 16-31 dicembre							
(Media di 2 stazioni: Campobasso e Pescolanciano)									(Media di 2 stazioni: Campobasso e Pescolanciano)									(Media di 2 stazioni: Campobasso e Pescolanciano)									(Media di 2 stazioni: Campobasso e Pescolanciano)									(Media di 2 stazioni: Campobasso e Pescolanciano)									(Media di 2 stazioni: Campobasso e Pescolanciano)									(Media di 2 stazioni: Campobasso e Carovilli)									(Media di 2 stazioni: Campobasso e Carovilli)									(Media di 2 stazioni: Campobasso e Pescolanciano)							
Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento	
	max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione
1	11,25	-1,95	2,7	35	0,3	4,8	NE		16	10,55	-3,6	1,75	58	0,2	3,35	SSW		1	13,95	5,35	8,95	48,5	0	4,85	W		16	15,1	-1,75	4,95	34,5	0	1,95	SE		1	12,65	5,55	9,3	51	4,6	8,35	S		16	16,9	-1,05	7,3	45	0	4,65	WSW		1	3,6	-2,25	0,2	67,5	1,6	14,2	N		16	18,05	1,8	9,7	50,5	0	3,2	SSW		16	16,25	7,2	11	55	0	2,55	W
2	9,45	-2,9	1,7	45,5	0,1	5	ENE		17	11,45	-3,6	1,85	52,5	0	1,8	S		2	14,75	4,5	9,35	45,5	0,1	5,1	W		17	16,2	-0,15	7	40,5	0,1	1,9	W		2	13,5	7,1	9,6	51,5	12,3	13,95	SSE		17	18,75	-0,55	7,75	48	0	2,95	S		2	10,5	-3,5	2,65	56,5	0	3,4	NW		17	20,9	6,15	13,35	48,5	0	3,2	SSW		17	17,5	5,8	10,85	53	0	2,3	SE
3	14,55	-2,3	3,7	28	0	1,3	S		18	9,35	-2	2,85	44	0	4,85	W		3	15,9	7	10,5	47	0	3,95	W		18	15,35	1,45	7,35	42	0	2,25	SE		3	10,1	2,25	6,15	46,5	4,7	11,95	S		18	18,05	-0,5	7,45	45,5	0	5,15	S		3	9,7	0,1	4,2	68,5	0	5,35	NE		18	23,3	9,45	15,8	60,5	0	3,1	WSW		18	13,3	4,9	9,05	47	0	1,35	SSE
4	11,45	-0,5	3,65	42,5	0	2,2	S		19	5,35	-0,05	3,1	57,5	0,2	4,6	NE		4	15,8	0,3	8,45	53,5	1,2	11,1	S		19	13,3	0,1	5,55	45,5	1,5	3,55	S		4	10,8	-1,05	4,3	43,5	5,2	3,85	ENE		19	16,05	-1,9	5,75	55,5	0,2	4,2	ENE		4	11,25	1,3	6,75	54,5	0	14,6	N		19	23	12,75	16,9	57	0	4,1	WSW		19	8	3,4	5,75	46	27,2	3,3	S
5	8,3	-1,7	3,2	51,5	0,3	11,35	N		20	5,25	0,15	2,35	66	0	6,6	NE		5	2,55	-0,3	1,1	68	0,8	15,45	NNW		20	9,85	-1,85	3,25	50,5	0,4	8,75	NNW		5	13,75	-1,5	5,55	44,5	0,1	3,2	SSE		20	13,1	-0,65	5,6	55	0,2	8,95	NNW		5	11,8	5,8	8,4	52,5	0	15,45	N		20	15,05	10,1	12,05	82	15,2	2,75	ENE		20	11,5	2,3	7,95	58	1	7,2	S
6	4,5	-1,9	0,9	61	0	10,35	NNW		21	5,9	-1,2	2,75	67,5	0	2,55	E		6	4,3	-3,95	0,5	62,5	3,6	13,45	NNW		21	14,45	-2,9	4,2	35,5	0	3,3	ENE		6	13,6	5,6	8,5	47,5	8,9	10,95	S		21	14,5	-0,85	6,35	46,5	0	8,1	NE		6	13,75	5,4	9,4	52,5	0	6,05	NE		21	13,85	9,05	10,6	91,5	3,9	7,85	N		21	12,9	10,2	11,5	50	33,8	15,85	S
7	10	-4,7	0,85	58,5	0	3,45	SSW		22	12,3	-3,3	2,55	50,5	0	1,55	E		7	11,25	-5,45	1,6	34	2,3	3,6	NE		22	11,55	-2,5	3,45	43	0	4,65	E		7	11,35	0,85	5,1	46	7,7	4,75	ENE		22	13,4	-0,35	6,6	45,5	0	6,2	E		7	15,65	4,9	9,95	45	0	6,8	NNE		22	10,35	7,7	9,2	93,5	12,1	10,45	NNE		22	12,85	5,7	9,6	61,5	13,7	16	S
8	9,25	-2,55	1,45	51,5	0	4,65	ENE		23	11,8	-2,3	3,3	47	0	2,95	SSW		8	12,65	-3,6	3,05	29,5	0	1,4	SE		23	16,85	-0,15	8,2	37	0	4,4	W		8	9,75	-0,75	4,2	49	1	6,7	NNW		23	11,85	0,45	6	52,5	0	6,4	NE		8	15,45	3,95	9,75	39,5	0	5,9	NNE		23	11	5,8	8,35	89,5	1,2	6	NE		23	12,15	1,6	6,2	50	0,2	7,15	W
9	13,1	-3,95	2,2	43	0	1,35	SSE		24	12,45	-3,65	3,8	52,5	0,2	1,4	W		9	13,15	-1,8	5,15	35,5	0	4,85	W		24	18,2	4,75	10,35	41	0,1	2,65	SW		9	12,2	-3,1	4,2	45	0	3,35	ENE		24	12	-0,45	5,75	43,5	0,8	3,65	S		9	17,5	3,75	10,4	28,5	0	4,3	NW		24	18,55	5,05	11,65	62,5	0	3	NW		24	12,85	0,25	5,1	34	0,1	5,05	SSW
