2020																																																																														
Campobasso										Campobasso										Campobasso										Campobasso										Campobasso										Campobasso										Campobasso										Campobasso								
Data 	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm		Data	temp min	temp max	temp media	umidità min	umidità max	umidità media	vento max km/h	pioggia mm
20/07/2020	15.6	27.5	21.6	26.0	67.0	46.5	25.6	0.0		03/08	20,9	32,5	26,7	31,8	64,8	48,3	35,1	0		01/09/2020	12.5	24.4	18.4	38.3	79.8	59.0	29.4	0.1		16/09/2020	16.7	27.0	21.9	38.5	77.8	58.1	23.7	0.0		01/10/2020	10.9	21.3	16.1	51.0	83.3	67.1	23.1	0.1		16/10/2020	7.6	14.4	11.0	54.5	80.0	67.3	46.7	0.8		23/11/2020	5.2	14.2	9.7	68.0	85.0	76.5	15.5	0		06/12/2020	4.7	12.1	8.4	73.0	88.0	80.5	48.3	32.8
21/07/2020	18.6	30.0	24.3	21.0	56.0	38.5	25.6	0.0		04/08	15,8	26,2	21	38,8	67,8	53,3	46	0		02/09/2020	12.9	25.3	19.1	40.0	80.8	60.4	22.4	0.0		17/09/2020	17.8	25.7	21.8	45.0	75.3	60.1	24.6	0.0		02/10/2020	11.6	22.9	17.2	33.8	81.5	57.6	30.6	0.1		17/10/2020	6.8	15.7	11.2	58.0	85.3	71.6	23.6	1.1		24/11/2020	6.8	10.2	8.5	68.0	84.0	76.0	23.8	0		07/12/2020	3.3	10.0	6.7	62.0	93.0	77.5	20.9	0.0
22/07/2020	20.4	32.1	26.3	14.0	51.0	32.5	16.9	0.0		05/08	15,8	26,2	21	38,8	67,8	53,3	46	1,2		03/09/2020	15.9	23.4	19.7	56.0	82.0	69.0	24.9	0.5		18/09/2020	16.7	25.9	21.3	48.3	76.3	62.3	28.6	0.0		03/10/2020	17.1	25.7	21.4	43.3	76.3	59.8	45.9	0.0		18/10/2020	6.6	14.8	10.7	63.8	85.8	74.8	20.4	0.4		25/11/2020	5.2	9.5	7.35	80.0	85.0	82.5	10.1	0		08/12/2020	5.9	9.6	7.8	76.0	94.0	85.0	41.8	14.0
23/07/2020	21.8	31.3	26.6	27.0	69.0	48.0	34.2	0.0		06/08	15,8	26,2	21	38,8	67,8	53,3	46	35,9		04/09/2020	14.2	24.5	19.3	34.8	82.5	58.6	30.2	0.1		19/09/2020	14.9	26.5	20.7	44.5	79.5	62.0	25.0	0.0		04/10/2020	12.5	20.4	16.4	42.8	75.8	59.3	51.5	0.4		19/10/2020	6.8	16.9	11.8	45.0	85.5	65.3	16.4	0.3		26/11/2020	5.2	13.3	9.25	70.0	97.0	83.5	8	0.2		09/12/2020	5.1	8.3	6.7	73.0	94.0	83.5	29.0	6.6
24/07/2020	19.8	30.4	25.1	25.0	69.0	47.0	34.2	0.0		07/08	17,5	24,6	21	51,3	80,5	65,9	35,1	0		05/09/2020	14.3	29.1	21.7	23.5	68.5	46.0	24.9	0.0		20/09/2020	15.5	28.9	22.2	38.8	82.0	60.4	26.6	0.1		05/10/2020	13.4	20.5	16.9	46.8	68.8	57.8	48.1	0.0		20/10/2020	7.6	18.1	12.8	44.5	84.0	64.3	13.9	0.0		27/11/2020	5.2	13.8	9.5	46.0	87.0	66.5	11.9	0		10/12/2020	2.5	9.3	5.9	65.0	93.0	79.0	16.1	0.0
25/07/2020	17.9	25.3	21.6	47.0	70.0	58.5	23.8	0.2		08/08	18,1	24,8	21,5	50,5	76,3	63,4	32,2	0		06/09/2020	15.9	30.3	23.1	23.3	69.0	46.1	22.0	0.0		21/09/2020	16.2	24.0	20.1	50.5	80.5	65.5	21.7	0.0		06/10/2020	11.9	20.6	16.3	33.8	68.8	51.3	34.9	0.0		21/10/2020	6.9	19.6	13.2	40.8	80.5	60.6	15.1	0.1		28/11/2020	6.1	9.3	7.7	77.0	87.0	82.0	15.5	0.2		11/12/2020	3.1	6.0	4.6	86.0	95.0	90.5	12.9	0.0
26/07/2020	17.0	29.1	23.1	24.0	69.0	46.5	22.3	0.0		09/08	18,1	28,1	23,1	41,8	73,8	57,8	34,7	0		07/09/2020	15.6	27.9	21.8	38.3	80.5	59.4	28.0	0.0		22/09/2020	15.1	23.4	19.2	49.3	80.8	65.0	27.0	0.8		07/10/2020	11.3	16.2	13.7	60.5	84.5	72.5	39.7	6.0		22/10/2020	7.8	20.6	14.2	47.0	82.0	64.5	13.1	0.1		29/11/2020	8	9.8	8.9	83.0	86.0	84.5	23.8	13		12/12/2020	3.3	10.0	6.7	65.0	95.0	80.0	17.7	0.0
27/07/2020	19.9	30.9	25.4	24.0	57.0	40.5	29.2	0.0		10/08	18,6	30,6	24,6	34,8	70,8	52,8	33,5	0		08/09/2020	16.4	26.5	21.4	48.0	82.5	65.3	23.3	0.1		23/09/2020	15.8	23.8	19.8	47.0	80.5	63.8	34.3	1.9		08/10/2020	9.7	17.0	13.3	42.0	81.3	61.6	35.2	0.1		23/10/2020	7.7	21.4	14.6	46.8	83.3	65.0	16.8	0.1		30/11/2020	3.7	8.9	6.3	72.0	85.0	78.5	27.4	0.4		13/12/2020	3.6	6.9	5.3	75.0	95.0	85.0	30.6	3.6
28/07/2020	21.2	32.7	27.0	36.0	61.0	48.5	22.5	0.0		11/08	19,3	31,3	25,3	31,8	70,3	51	22	0		09/09/2020	15.5	29.4	22.5	37.8	80.5	59.1	20.0	0.0		24/09/2020	14.8	24.9	19.8	43.5	77.3	60.4	35.5	0.0		09/10/2020	9.6	21.1	15.4	26.0	64.0	45.0	22.3	0.0		24/10/2020	10.8	16.2	13.5	70.0	83.0	76.5	36.0	4.5		01/12/2020	1.1	8.8	5.35	77.0	97.0	87.0	8	0.2		14/12/2020	2.5	9.4	6.0	53.0	93.0	73.0	35.4	0.0
29/07/2020	22.2	34.8	28.5	25.0	51.0	38.0	16.9	0.0		12/08	19,5	32,3	25,9	30,5	71	50,8	28,7	3,4		10/09/2020	18.0	30.3	24.2	33.8	75.5	54.6	24.5	0.0		25/09/2020	11.7	22.1	16.9	60.3	83.0	71.6	50.7	24.2		10/10/2020	10.6	21.8	16.2	37.8	77.8	57.8	22.5	0.0		25/10/2020	9.7	18.2	14.0	52.0	80.5	66.3	30.1	0.1		02/12/2020	5.9	11.7	8.8	64.0	86.0	75.0	39.2	11.6		15/12/2020	2.9	10.8	6.9	41.0	89.0	65.0	9.7	0.0
