2021																																																				
Tab. n° 2 - Dati meteorologici Medio Molise 01-15 gennaio									Tab. n° 2 - Dati meteorologici Medio Molise 16-31 gennaio									Tab. n° 2 - Dati meteorologici Medio Molise 01-15 febbraio									Tab. n° 2 - Dati meteorologici Medio Molise 16-28 Febbraio									Tab. n° 2 - Dati meteorologici Medio Molise 01-15 marzo									Tab. n° 2 - Dati meteorologici Medio Molise - Larino 16-31 marzo							
Larino									Larino-Montemitro 									Larino									Larino									Larino									Larino							
Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento			Data	temperatura			umidità	pioggia	vento	
	max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione			max	min	med			intensità	direzione
1	13,3	1,1	6,7	69,5	0	5,2	SE		16	4,8	-0,4	2,7	79	0,3	5	NW		1	14,5	5,8	8,9	90	0,5	1,9	NW		16	10,7	-5,8	1,9	82	0	3	SE		1	13,9	-1,5	5,7	90	0	3,8	SE		16	12	0,7	6	68	0,2	14,5	SSW
2	13,4	3,3	8,8	80	4,6	11,5	SE		17	6	-3,6	1,4	76	0,3	2,5	SE		2	14,5	3	7,9	95	0	2,3	SE		17	15	-0,3	6,5	76	0	2	ESE		2	13,1	6,4	9,2	79	0	3,4	SE		17	11,1	3,4	7,3	80	1,4	10,4	SSW
3	11,4	0,4	8,5	67	0	14,9	SSE		18	8	-1,2	2,9	73,5	6,1	2,7	NW		3	17,7	4,9	11,4	80	0	9,7	SE		18	16,6	2,8	8,5	80	0	2,1	ESE		3	10,1	3,2	10,1	78	0	6	NNE		18	9,7	2,4	6	72	0	11,3	N
4	12,7	1,5	6,6	72	0	5,1	SE		19	12,9	-3,7	4	80,5	0	4,8	SSE		4	17,9	8,3	13	71	0	9,5	S		19	16,8	1,2	8,1	95	0	2,6	SE		4	8,2	0,2	8,2	69	0	3,6	SE		19	9	-0,2	4,9	88	0	8,8	SSW
5	8,8	1,7	5,9	59	28,2	8,6	S		20	13,7	1,9	9	69,5	0	5,8	SE		5	15,9	5,6	10,2	88	0	2,8	NW		20	15,9	1,2	8,2	91	0	3,3	NNE		5	9,1	3,6	9,1	82	0	3,1	NNE		20	8,1	4,2	5,5	69	0,8	10,1	SW
6	11,4	5,9	8,3	56	0	9,2	S		21	14,5	8,8	12,4	74,5	0	14,6	S		6	19,7	7,2	12,6	95	0	5,1	NW		21	1,8	2	8,8	91	0	3,1	SE		6	7	5,5	7	93	1,8	1,6	ESE		21	8,3	4,5	6,2	65	0	20,9	NNW
7	7,2	1,8	4,2	76	7,9	3,1	SSW		22	15	11,9	13,7	79	0	28,5	S		7	21,9	10,7	15,4	51	2,8	18,5	SSE		22	15,2	1,8	7,8	96	0	3,7	SE		7	6,6	4	6,6	91	0	2,2	NNE		22	10,1	4,6	7,1	61	0,6	26,4	N
8	6,1	2,8	4,5	83	2,3	1,2	SE		23	13,6	8,7	11,1	78	1,3	22,9	SSE		8	15	11,4	12,5	90	0	22,5	SSE		23	14,4	1,7	7,4	96	0,3	3,5	SSW		8	6,8	3,7	6,8	96	11,9	1	NNE		23	8,7	5,4	7	49	0	32,4	N
9	5,8	3,5	4,7	68	7,9	1,3	ESE		24	12,5	4	9,5	81	3,3	14,2	SE		9	15	10,8	12,9	69	1,8	19,9	SSE		24	19,1	2,4	9,5	95	0	3,2	SE		9	6,4	4,7	6,4	99	47,8	1,8	ESE		24	11,9	2,9	8,4	60	0	17	N
