2021																															
Tab. n° 3 - Dati meteorologici medio Molise - Larino 16-30 giugno?											Tab. n°3 - Dati meteorologici medio Molise - Larino 16-31 luglio?											Tab. n°3 - Dati meteorologici medio Molise - Larino 01-15 agosto?									
Larino											Larino											Larino									
Data	temperatura			umidità	pioggia	vento		umidità			Data	temperatura			umidità	pioggia	vento		umidità			Data	temperatura			umidità	pioggia	vento		umidità	
	max	min	med	med		intensità	direzione	max	min			max	min	med	med		intensità	direzione	max	min			max	min	med	med		intensità	direzione	max	min
16	21,9	26,6	16,9	43,5	0	1,7	WNW	52	35		16	21,7	27,3	17,3	69	12,4	3	W	91	47		1	32,2	36,4	28	30	0	7,7	W	35	25
17	24,3	30,1	17,7	39	0	1,4	NNW	48	30		17	19,6	23,6	17,3	82,5	6,4	3,7	W	95	70		2	26	29,4	21,8	60	0	2,9	WNW	75	45
18	24,9	29,1	21,1	53	0	1,4	WSW	66	40		18	20,7	25,2	17,7	78,5	1,2	6,7	W	90	67		3	24,6	29,8	20,8	54,5	0	1,4	W	74	35
19	26,7	30,7	23,2	53	0	1,5	WNW	61	45		19	22	25,2	20	77	4,4	7,3	W	90	64		4	28,9	35,8	23,7	38	0	3,2	W	50	26
20	28,2	33,3	23,4	53	0	1,1	W	67	39		20	24,2	28,8	20,4	62,5	0	4,1	W	80	45		5	26,6	30,9	23,2	51	0	5,4	W	71	31
21	31,7	36,6	27,8	36,5	0	5,1	W	45	28		21	26,3	30,7	21,8	47	0	1,9	WNW	57	37		6	25	29,4	21,4	47,5	0	3,5	W	65	30
22	30	34,1	26,7	46	0	3,4	WNW	59	33		22	25,4	29,1	21,8	44	0	2,6	WNW	57	31		7	29,1	34,9	22,6	46	0	2,8	SW	60	32
23	29,7	34,7	24,9	48,5	0	1,4	SSW	57	40		23	26	30,9	20,7	41,5	0	1,2	WNW	52	31		8	31,6	37	26,3	35	0	4,4	W	45	25
24	30,7	34,6	25,1	49,5	0	2,8	WNW	70	29		24	28,4	34,3	22,1	50	0	1,3	WNW	62	38		9	29,5	34,4	26	50	0	2,6	WNW	68	32
25	28,1	34,2	23,2	56	0	3,5	WNW	79	33		25	29,8	33,6	25,2	40,5	0	3,7	SW	60	21		10	28,5	34,4	24,3	65,5	0	1,8	WNW	91	40
26	25,7	30,2	21,1	55,5	0	2,1	WNW	71	40		26	31,4	36,1	28,6	25	0	6	WNW	32	18		11	27	31,7	23,5	66	0,6	1,9	W	92	40
27	26	30,3	21,7	44,5	0	1,6	NNW	55	34		27	31,2	35,8	28,4	34,5	0	2,8	WSW	45	24		12	27,8	32	24,5	53,5	0,2	2,7	W	60	47
28	28	34,4	22,4	44	0	1,8	NNE	55	33		28	33,4	38,9	28,2	24	0	5,1	W	28	20		13	29,4	34,1	25,1	45,5	0	1,2	N	60	31
29	30,8	35,8	26,1	38	0	3,7	W	46	30		29	30,5	34,2	24,2	41,5	0	2,7	NW	60	23		14	29,3	34,6	24,8	41,5	0	1,5	WNW	53	30
30	29,1	34,3	24,3	44,5	0	5,9	W	59	30		30	30,1	34,2	24,4	33,5	0	2,1	WSW	40	27		15	32,1	37,4	27,3	28,5	0	1,9	WNW	35	22
Media	27,7	32,6	23	47		2,6		59,3	34,6		31	32,8	39	28,1	34,5	0	4,5	WSW	50	19		Media	28,5	33,5	24,2	47,5		3		62,3	32,7
											Media	26,7	31,2	22,5	50,1		3,6		62,6	37,5											
