Giorno	Mese	Anno	Stazione	Temp_max	Temp_min	Temp_med	Hum_max	Hum_min	Hum_med	Rain_mm	Wind_int	Wind_dir
16	1	2017	 Campobasso, Guardialfiera e Termoli	4.6	0.9	2.8	NA	NA	89.0	9.33	12.43	NW
17	1	2017	 Campobasso, Guardialfiera e Termoli	5.9	2.07	3.9	NA	NA	91.33	12.13	9.3	N
18	1	2017	 Campobasso, Guardialfiera e Termoli	5.5	2.4	3.87	NA	NA	95.33	39.13	15.4	NV
19	1	2017	 Campobasso, Guardialfiera e Termoli	3.9	2.3	3.07	NA	NA	93.33	22.07	16.93	NV
20	1	2017	 Campobasso, Guardialfiera e Termoli	5.0	3.53	4.13	NA	NA	93.67	2.33	6.3	NV
21	1	2017	 Campobasso, Guardialfiera e Termoli	6.9	4.23	5.33	NA	NA	95.33	2.47	3.33	NNE
22	1	2017	 Campobasso, Guardialfiera e Termoli	6.87	5.13	5.83	NA	NA	95.0	2.2	5.07	NE
23	1	2017	 Campobasso, Guardialfiera e Termoli	7.0	5.03	6.23	NA	NA	92.67	7.47	8.23	NNW
24	1	2017	 Campobasso, Guardialfiera e Termoli	7.13	3.7	5.87	NA	NA	87.67	3.4	8.57	NNW
25	1	2017	 Campobasso, Guardialfiera e Termoli	6.87	2.3	4.7	NA	NA	82.0	0.0	8.43	WNW
26	1	2017	 Campobasso, Guardialfiera e Termoli	7.13	0.3	3.33	NA	NA	83.67	0.0	5.0	WNW
27	1	2017	 Campobasso, Guardialfiera e Termoli	7.67	1.17	3.9	NA	NA	81.67	0.07	4.97	ESE
28	1	2017	 Campobasso, Guardialfiera e Termoli	8.23	1.13	4.2	NA	NA	83.33	0.07	4.17	SW
29	1	2017	 Campobasso, Guardialfiera e Termoli	9.87	2.03	5.73	NA	NA	79.0	0.0	3.97	SW
30	1	2017	 Campobasso, Guardialfiera e Termoli	11.17	1.5	5.57	NA	NA	73.67	0.0	1024.27	SW
31	1	2017	 Campobasso, Guardialfiera e Termoli	12.9	3.13	7.83	NA	NA	71.67	0.0	1022.93	SW
1	2	2017	 Campobasso, Guardialfiera e Termoli	15.27	7.6	11.23	NA	NA	70.33	0.07	12.5	S
2	2	2017	 Campobasso, Guardialfiera e Termoli	14.6	8.83	11.6	NA	NA	66.0	0.0	10.47	S
3	2	2017	 Campobasso, Guardialfiera e Termoli	15.93	10.63	13.13	NA	NA	65.33	0.0	14.07	S
4	2	2017	 Campobasso, Guardialfiera e Termoli	16.07	11.5	13.8	NA	NA	62.33	0.13	15.57	S
5	2	2017	 Campobasso, Guardialfiera e Termoli	16.2	11.1	13.5	NA	NA	69.33	0.47	13.4	SSE
6	2	2017	 Campobasso, Guardialfiera e Termoli	13.53	7.2	10.03	NA	NA	78.0	0.67	10.83	SSE
7	2	2017	 Campobasso, Guardialfiera e Termoli	10.37	5.4	7.37	NA	NA	88.33	2.2	8.37	NW
8	2	2017	 Campobasso, Guardialfiera e Termoli	8.43	5.03	6.67	NA	NA	82.33	0.53	3.33	E
9	2	2017	 Campobasso, Guardialfiera e Termoli	7.6	4.87	6.07	NA	NA	92.0	3.8	6.07	ESE
10	2	2017	 Campobasso, Guardialfiera e Termoli	11.13	7.27	9.0	NA	NA	93.67	9.93	5.83	SE
11	2	2017	 Campobasso, Guardialfiera e Termoli	11.43	6.97	8.73	NA	NA	91.33	0.0	3.8	SSE
12	2	2017	 Campobasso, Guardialfiera e Termoli	10.9	7.8	8.97	NA	NA	89.67	0.07	2.37	SSE
13	2	2017	 Campobasso, Guardialfiera e Termoli	10.67	7.2	8.67	NA	NA	88.33	0.0	4.3	ESE
14	2	2017	 Campobasso, Guardialfiera e Termoli	9.73	5.1	7.53	NA	NA	86.33	0.0	8.27	SW
15	2	2017	 Campobasso, Guardialfiera e Termoli	11.07	3.13	6.67	NA	NA	80.0	0.07	5.67	WNW
16	2	2017	 Campobasso, Guardialfiera e Termoli	14.87	4.5	8.8	NA	NA	62.33	0.0	5.37	S
17	2	2017	 Campobasso, Guardialfiera e Termoli	13.87	4.37	8.67	NA	NA	73.0	0.0	6.8	SW
18	2	2017	 Campobasso, Guardialfiera e Termoli	9.47	4.47	7.47	NA	NA	82.67	3.0	10.67	WSW
19	2	2017	 Campobasso, Guardialfiera e Termoli	9.83	3.67	6.3	NA	NA	77.0	0.0	10.03	W
20	2	2017	 Campobasso, Guardialfiera e Termoli	10.97	2.5	6.1	NA	NA	75.33	0.0	5.9	S
21	2	2017	 Campobasso, Guardialfiera e Termoli	15.2	2.4	8.3	NA	NA	62.33	0.0	6.7	S
22	2	2017	 Campobasso, Guardialfiera e Termoli	15.63	4.7	9.37	NA	NA	71.33	0.0	6.8	WSW
23	2	2017	 Campobasso, Guardialfiera e Termoli	15.33	5.57	10.1	NA	NA	74.0	0.0	6.5	SSW
24	2	2017	 Campobasso, Guardialfiera e Termoli	18.4	10.03	13.67	NA	NA	64.0	0.47	14.73	S
25	2	2017	 Campobasso, Guardialfiera e Termoli	14.87	6.03	8.77	NA	NA	87.33	8.73	17.87	NW
26	2	2017	 Campobasso, Guardialfiera e Termoli	11.43	6.87	8.6	NA	NA	76.0	0.0	6.63	SW
27	2	2017	 Campobasso, Guardialfiera e Termoli	16.5	5.53	10.77	NA	NA	78.0	0.0	5.67	ESE
28	2	2017	 Campobasso, Guardialfiera e Termoli	17.4	8.73	13.0	NA	NA	62.67	0.13	15.4	S
1	3	2017	 Campobasso, Guardialfiera e Termoli	16.13	6.33	11.5	NA	NA	68.0	0.27	12.73	ESE
2	3	2017	 Campobasso, Guardialfiera e Termoli	16.07	5.63	10.6	NA	NA	66.0	0.0	9.03	ESE
3	3	2017	 Campobasso, Guardialfiera e Termoli	15.7	6.63	11.07	NA	NA	72.33	0.0	6.83	SSE
